priority_ratio,package_ratio,real_package_ratio,total_orders,complete_orders,complete_orders_percentage,orders_with_priority_1,complete_orders_with_priority_1,complete_orders_with_priority_1_percentage,orders_with_priority_2,complete_orders_with_priority_2,complete_orders_with_priority_2_percentage,Total_time_between_order_and_delivery_prio1,Total_time_between_order_and_delivery_prio2,total_wait_time_sec,total_delay_time_sec,total_req_time_sec,total_time_sec,avg_dist_traveled_km,avg_empty_dist_traveled_km,avg_rebl_dist_traveled_km,avg_time_traveled_s,avg_empty_time_traveled_s,avg_rebl_time_traveled_s
1.1,0.10,0.11097598054119794,3654,3345,91.54351395730706,365,330,90.41095890410959,3289,3015,91.66920036485254,27.56693383838382,27.832263957987834,1280986.4000000006,2258079.5999999996,2041615.8399999982,5580681.839999998,391.084470042814,43.29331663602054,33.40870513778024,77763.22,9128.498333333335,4682.496666666667
1.1,0.15,0.17567567567567569,3654,3370,92.22769567597153,546,492,90.10989010989012,3108,2878,92.5997425997426,27.228160230352294,27.48669093120223,1280415.3400000003,2215982.5299999956,2053779.210000005,5550177.080000001,392.824803835433,45.357131702385274,37.17480544308635,77704.23866666674,9370.139000000001,4954.195000000001
1.1,0.20,0.2500855285665412,3654,3347,91.59824849480022,731,661,90.42407660738714,2923,2686,91.89189189189189,27.587627584468,28.166738086373766,1286257.4799999988,2300320.859999998,2046898.4800000002,5633476.8199999975,393.84041603029493,42.920335124262024,31.847205675337047,77734.30166666675,8827.017333333331,4326.08
1.1,0.25,0.33357664233576645,3654,3312,90.64039408866995,914,835,91.3566739606127,2740,2477,90.4014598540146,27.282424351297404,28.422700578656972,1286219.4500000002,2278218.719999999,2026593.0499999998,5591031.219999999,392.3995433088241,43.586717892048725,36.31634617308277,77737.41366666673,8946.317666666666,5021.287333333333
1.1,0.30,0.42790152403282533,3654,3313,90.66776135741652,1095,982,89.68036529680366,2559,2331,91.09026963657679,26.879855566870315,27.82311118261117,1259749.6299999985,2198365.799999998,2016985.99,5475101.419999996,393.37255715914677,43.92294927004455,39.30066542988435,77733.3286666667,9136.257666666666,5352.692666666666
1.1,0.35,0.5378787878787878,3654,3349,91.65298303229338,1278,1172,91.70579029733959,2376,2177,91.62457912457913,26.439298492605243,27.9448703108253,1254549.6400000004,2216304.4300000016,2038516.3600000003,5509370.4300000025,392.182916767146,42.57634162668704,33.81085354962417,77687.71033333341,8907.196666666665,4632.3589999999995
1.1,0.40,0.666970802919708,3654,3327,91.05090311986864,1462,1308,89.46648426812585,2192,2019,92.10766423357664,27.32599235474004,27.99802674591384,1274131.0500000007,2240806.820000001,2021286.9699999995,5536224.840000002,390.4583497111382,45.88231777110594,34.51190788067547,77738.54833333337,9488.653333333332,4944.847
1.1,0.45,0.817910447761194,3654,3352,91.73508483853311,1644,1501,91.30170316301704,2010,1851,92.08955223880596,26.88299777925829,27.65378975328652,1265007.1900000002,2188938.6600000025,2038366.8200000003,5492312.670000003,391.5779365113125,45.555218387350195,34.54534820935503,77502.85433333341,9376.448666666663,4760.208
1.1,0.50,1.0,3654,3333,91.21510673234812,1827,1651,90.36672140120416,1827,1682,92.06349206349206,27.6069394306481,27.747011395164513,1255333.7000000011,2247099.500000003,2032538.6099999994,5534971.810000003,392.24660974777595,43.400064638368015,36.462072700640036,77680.5913333334,8944.901999999998,4968.211666666666
1.1,0.55,1.2226277372262773,3654,3327,91.05090311986864,2010,1810,90.04975124378109,1644,1517,92.2749391727494,27.624642081031332,28.176035486706226,1264697.3699999992,2259030.810000003,2040890.7000000016,5564618.880000004,389.7810206564995,43.323187135178344,31.898303813999963,77697.4726666667,9259.880666666666,4385.410666666667
1.1,0.60,1.4993160054719563,3654,3356,91.84455391351943,2192,2015,91.92518248175182,1462,1341,91.72366621067032,27.232080066170347,28.04754548844145,1263194.8399999985,2239826.899999997,2046042.2499999986,5549063.989999995,389.55276454469663,44.08902795852908,31.154584917990558,77742.49766666675,9314.700333333338,4317.424999999999
1.1,0.65,1.8591549295774648,3654,3339,91.37931034482759,2376,2179,91.70875420875421,1278,1160,90.76682316118936,27.409605629493644,27.840955028735642,1260237.9099999997,2220102.8799999994,2040921.520000001,5521262.3100000005,389.9988247551303,43.144695149414225,33.185546278926296,77709.17033333342,9114.468333333329,4647.7429999999995
1.1,0.70,2.336986301369863,3654,3309,90.55829228243022,2559,2318,90.58225869480266,1095,991,90.50228310502283,27.1195577365545,27.9252472250252,1232303.709999999,2180313.8699999964,2019605.7100000028,5432223.289999998,393.1130807753982,43.17351561343603,35.96583470664372,77758.82333333335,9022.289666666666,4912.235666666665
1.1,0.75,2.99781181619256,3654,3324,90.9688013136289,2740,2486,90.72992700729927,914,838,91.68490153172867,27.371853982300863,28.379610381861546,1250541.8899999973,2226742.05,2032428.6099999982,5509712.549999995,392.45816619600924,45.97854716153835,35.92652194383327,77724.30400000009,9448.044333333333,4789.030999999999
1.1,0.80,3.9986320109439126,3654,3314,90.69512862616311,2923,2644,90.45501197399932,731,670,91.65526675786593,27.535261661623785,27.52296293532338,1243861.7600000007,2217495.269999997,2013259.9899999993,5474617.019999998,392.7110658008276,44.814581323485044,35.69748182936684,77693.94533333341,9387.491666666667,4904.7193333333325
1.1,0.85,5.6923076923076925,3654,3332,91.18773946360153,3108,2840,91.37709137709138,546,492,90.10989010989012,27.490135622065747,27.76052981029809,1249716.1499999966,2226501.860000005,2027591.9400000009,5503809.950000003,389.6005462114255,45.1959327863935,31.51057890752991,77747.94600000008,9443.956,4368.118333333333
1.1,0.90,9.01095890410959,3654,3300,90.311986863711,3289,2969,90.27059896625114,365,331,90.68493150684931,27.591302178062232,28.716986908358496,1235367.1000000015,2240589.2300000014,2009477.600000003,5485433.930000005,392.3007060990223,45.08602986820651,30.49010773588018,77781.49233333342,9298.284999999996,4200.948333333332
1.1,0.95,19.076923076923077,3654,3301,90.33935413245759,3472,3134,90.26497695852535,182,167,91.75824175824175,27.297331950648793,29.988237524950105,1235689.690000002,2192164.7099999967,2005618.0400000007,5433472.4399999995,392.2470225502217,46.34153944876633,32.26753493987894,77714.54100000001,9670.96033333333,4499.090999999999
1.2,0.05,0.05241935483870968,3654,3390,92.77504105090313,182,162,89.01098901098901,3472,3228,92.97235023041475,25.372696502057618,27.584916201982637,1310769.7699999989,2224801.9799999995,2053697.4299999978,5589269.179999996,391.88297140706044,45.85833508129592,33.870326673672295,77777.19233333341,9546.904333333332,4746.017666666666
1.2,0.10,0.11097598054119794,3654,3393,92.85714285714286,365,330,90.41095890410959,3289,3063,93.12861051991487,26.368583333333337,27.84672445315052,1313635.6000000003,2260571.3100000015,2065562.0600000022,5639768.970000004,390.74853453076315,43.93550107471355,32.51306331481887,77681.30733333342,9285.759666666669,4408.6449999999995
1.2,0.15,0.17567567567567569,3654,3368,92.17296113847839,546,495,90.65934065934066,3108,2873,92.43886743886743,26.3905430976431,27.86946385891634,1315813.0199999975,2238389.2399999974,2033735.0500000035,5587937.309999999,391.6088824570494,46.160243020090554,36.844194786489005,77763.92300000004,9495.205333333335,5227.826666666666
1.2,0.20,0.2500855285665412,3654,3346,91.57088122605364,731,668,91.38166894664843,2923,2678,91.61820047895998,27.231071107784427,28.3315428180234,1302855.4199999985,2299320.67,2041557.5400000014,5643733.63,390.95523147250117,41.17986291774428,37.44988224858586,77736.25933333341,8689.251,5271.325
1.2,0.25,0.33357664233576645,3654,3373,92.30979748221128,914,843,92.23194748358863,2740,2530,92.33576642335767,26.369426453143546,28.19492740447962,1306122.3500000015,2266113.780000004,2041519.4400000009,5613755.570000006,392.5669469124427,44.525364485618184,38.770166787675365,77763.80066666674,9187.477,5246.236333333334
1.2,0.30,0.42790152403282533,3654,3396,92.9392446633826,1095,1007,91.96347031963471,2559,2389,93.35677999218444,26.578493048659407,28.126877424305846,1305635.2799999984,2264746.3899999997,2067197.4900000035,5637579.160000002,391.3310279037899,46.566954276407905,30.37402416292298,77703.30266666671,9544.083,4078.6783333333337
1.2,0.35,0.5378787878787878,3654,3378,92.44663382594418,1278,1177,92.09702660406886,2376,2201,92.63468013468014,26.626167233078455,28.185069816749944,1298997.739999998,2245066.809999999,2058395.7000000011,5602460.249999998,391.2217997334405,45.34496138996079,30.497301689868134,77757.17533333338,9264.336333333336,4153.457333333333
