ptime,onid,dnid,prio
2023-03-13 19:28:13.282216,1654.0,1010.0,2
2023-03-13 19:28:34.626090,1655.0,1218.0,2
2023-03-13 19:28:55.969964,1059.0,1179.0,2
2023-03-13 19:29:17.313838,1634.0,2039.0,2
2023-03-13 19:29:38.657712,1576.0,1190.0,2
2023-03-13 19:30:00.001586,1336.0,1369.0,2
2023-03-13 19:30:21.345460,726.0,1201.0,2
2023-03-13 19:30:42.689334,2108.0,40.0,2
2023-03-13 19:31:04.033208,1846.0,836.0,2
2023-03-13 19:31:25.377082,1874.0,1562.0,2
2023-03-13 19:31:46.720956,2152.0,2800.0,2
2023-03-13 19:32:08.064830,2494.0,1698.0,1
2023-03-13 19:32:29.408704,1514.0,2843.0,1
2023-03-13 19:32:50.752578,1840.0,765.0,1
2023-03-13 19:33:12.096452,1899.0,1234.0,1
2023-03-13 19:33:33.440326,1277.0,1440.0,1
2023-03-13 19:33:54.784200,1565.0,2307.0,1
2023-03-13 19:34:16.128074,1201.0,933.0,1
2023-03-13 19:34:37.471948,2199.0,2244.0,1
2023-03-13 19:34:58.815822,7.0,483.0,1
2023-03-13 19:35:20.159696,1468.0,1107.0,1
2023-03-13 19:35:41.503570,1145.0,2703.0,1
2023-03-13 19:36:02.847444,1221.0,873.0,1
2023-03-13 19:36:24.191318,2510.0,3350.0,1
2023-03-13 19:36:45.535192,2958.0,2697.0,1
2023-03-13 19:37:06.879066,2878.0,2166.0,1
2023-03-13 19:37:28.222940,825.0,1551.0,1
2023-03-13 19:37:49.566814,1059.0,1818.0,1
2023-03-13 19:38:10.910688,2767.0,3130.0,2
2023-03-13 19:38:32.254562,1249.0,2657.0,2
2023-03-13 19:38:53.598436,2076.0,2230.0,2
2023-03-13 19:39:14.942310,745.0,1363.0,2
2023-03-13 19:39:36.286184,1665.0,2579.0,2
2023-03-13 19:39:57.630058,2048.0,2331.0,2
2023-03-13 19:40:18.973932,1648.0,1288.0,2
2023-03-13 19:40:40.317806,892.0,1489.0,2
2023-03-13 19:41:01.661680,1407.0,764.0,2
2023-03-13 19:41:23.005554,1208.0,1907.0,2
2023-03-13 19:41:44.349428,1833.0,2355.0,2
2023-03-13 19:42:05.693302,452.0,1911.0,2
2023-03-13 19:42:27.037176,2116.0,3142.0,2
2023-03-13 19:42:48.381050,420.0,1292.0,2
2023-03-13 19:43:09.724924,1785.0,2143.0,2
2023-03-13 19:43:31.068798,2774.0,1774.0,2
2023-03-13 19:43:52.412672,901.0,1999.0,2
2023-03-13 19:44:13.756546,1525.0,1698.0,2
2023-03-13 19:44:35.100420,2831.0,2792.0,2
2023-03-13 19:44:56.444294,1940.0,2206.0,2
2023-03-13 19:45:17.788168,2664.0,33.0,1
2023-03-13 19:45:39.132042,1527.0,2206.0,1
